,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,Welington Damascena Santos,DEF,Southampton,0.0,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,32,0,1341,0,3,0,0.0,0,16,58,42,40,True,0
1,Alex Scott,MID,Bournemouth,0.0,0,0,16,1,23.0,77,0.3,0.46,0.16,0.86,312,0,0,5.6,12.2,2025-04-14T19:00:00Z,64,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,3320,1,0,1,21.0,3,-3,61,64,47,True,0
2,Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,32,0,15831,0,1,0,0.0,0,-27,175,202,41,True,0
3,Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,32,0,3776,0,1,1,0.0,0,2,25,23,48,True,0
4,Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,32,0,240,0,2,5,0.0,0,-1,0,1,45,False,0
5,Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,240,0,0,5,0.0,0,-1,0,1,45,False,0
6,Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,32,0,14387,0,3,0,0.0,0,-53,0,53,48,True,0
7,Pau Torres,DEF,Aston Villa,0.0,0,0,0,0,0.0,52,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,32,0,91693,0,3,0,0.0,0,4085,5977,1892,42,False,0
8,Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,32,0,8335,0,2,5,0.0,0,136,215,79,43,False,0
9,Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,8335,0,0,5,0.0,0,136,215,79,43,False,0
10,Antonín Kinsky,GK,Spurs,0.0,0,0,0,0,0.0,716,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,32,0,16037,0,2,4,0.0,0,-772,105,877,42,False,0
11,Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,32,0,116880,0,2,4,0.0,0,-2090,0,2090,45,False,0
12,Hwang Hee-chan,MID,Wolves,0.0,0,0,3,0,0.6,550,0.0,0.0,0.0,0.95,320,1,0,0.4,1.4,2025-04-13T13:00:00Z,7,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,30451,0,2,4,2.0,1,-1728,174,1902,61,True,0
13,Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,32,0,22416,0,2,4,0.0,0,-239,26,265,45,False,0
14,Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,32,0,398217,0,1,1,0.0,0,-8682,4424,13106,39,False,0
15,Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.0,0.0,0.0,0.0,312,0,0,0.0,0.0,2025-04-14T19:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,2053,0,0,1,0.0,0,-17,0,17,40,True,0
16,João Victor Gomes da Silva,MID,Wolves,0.0,0,0,17,0,7.6,553,0.01,0.07,0.06,1.0,320,1,0,1.6,3.4,2025-04-13T13:00:00Z,82,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,28246,1,2,4,5.0,2,-3630,164,3794,49,True,0
17,Cole Palmer,MID,Chelsea,0.0,1,0,21,0,53.2,182,0.16,0.43,0.27,1.07,314,2,0,11.7,31.0,2025-04-13T13:00:00Z,90,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,4644923,1,2,2,33.0,4,-45918,106345,152263,107,True,1
18,Mitoma Kaoru,MID,Brighton,0.0,0,0,0,0,0.0,136,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,900270,0,2,2,0.0,0,-87548,32847,120395,65,True,0
19,Boubakary Soumaré,MID,Leicester,0.0,0,0,15,0,13.2,285,0.02,0.04,0.02,3.91,313,2,0,2.9,10.4,2025-04-12T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,34752,1,2,2,5.0,2,-1313,266,1579,44,False,0
20,Chris Wood,FWD,Nott'm Forest,0.0,0,0,5,0,10.7,447,0.01,0.01,0.0,1.36,318,1,0,1.5,4.2,2025-04-12T14:00:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,32,0,3012821,1,1,0,0.0,2,-623390,12215,635605,70,True,0
21,Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,32,0,2202,0,1,0,0.0,0,-5,0,5,45,True,0
22,Jeffrey Schlupp,MID,Crystal Palace,0.0,0,0,0,0,0.0,214,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2025-04-12T11:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,32,0,5295,0,2,5,0.0,0,-66,0,66,46,False,0
23,Jeffrey Schlupp,MID,Crystal Palace,0.0,0,0,0,0,0.0,214,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,5295,0,0,5,0.0,0,-66,0,66,46,False,0
24,Milos Kerkez,DEF,Bournemouth,0.0,0,0,24,1,9.1,70,0.04,0.04,0.0,1.07,312,0,0,2.9,17.6,2025-04-14T19:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,2105599,1,0,1,2.0,6,-94350,41623,135973,53,True,0
25,Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,1236,0,2,2,0.0,0,-4,0,4,45,True,0
26,Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,142,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,80884,0,2,2,0.0,0,-987,94,1081,40,True,0
27,Arijanet Muric,GK,Ipswich,0.0,0,0,0,0,0.0,568,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,32,0,60886,0,2,2,0.0,0,-3249,61,3310,44,False,0
28,Harvey Davies,GK,Liverpool,0.0,0,0,0,0,0.0,669,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,32,0,1978,0,1,2,0.0,0,10,42,32,40,True,0
29,Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,7673,0,2,2,0.0,0,187,453,266,39,True,0
30,Ibrahim Sangaré,MID,Nott'm Forest,0.0,0,0,0,0,0.0,442,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,32,0,147138,0,1,0,0.0,0,-4375,2676,7051,43,True,0
31,Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,0.0,0.0,0.0,0.0,317,0,0,0.0,0.0,2025-04-13T15:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,32,0,3478,0,1,4,0.0,0,-7,0,7,45,False,0
32,Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,479,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,32,0,50302,0,2,4,0.0,0,-472,140,612,40,False,0
33,Fabian Hürzeler,AM,Brighton,0.0,0,0,0,0,0.0,739,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,1,2,0,0,0,0,False,11,0,0,0,0,32,0,5698,0,2,2,0.0,5,367,712,345,11,True,0
34,Conor Coady,DEF,Leicester,0.0,0,0,-3,0,0.7,288,0.01,0.01,0.0,3.91,313,2,0,0.8,7.4,2025-04-12T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,36099,1,2,2,0.0,0,-213,763,976,40,False,1
35,Wes Foderingham,GK,West Ham,0.0,0,0,0,0,0.0,522,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,32,0,14887,0,1,2,0.0,0,-105,37,142,42,False,0
36,Armando Broja,FWD,Everton,0.0,0,0,8,1,23.9,156,0.02,0.02,0.0,0.48,318,0,0,3.9,5.4,2025-04-12T14:00:00Z,63,0,0,0,0,0,0,0,False,16,0,0,0,0,32,0,6136,1,1,0,10.0,2,82,184,102,53,False,0
37,Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,147,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,10216,0,2,2,0.0,0,-1067,15,1082,43,True,0
38,Thomas Partey,MID,Arsenal,0.0,0,2,28,1,2.7,20,0.03,0.29,0.26,0.12,311,0,1,6.8,42.0,2025-04-12T16:30:00Z,68,0,0,0,0,0,0,0,False,4,0,0,0,0,32,0,82395,1,1,1,23.0,10,-1771,733,2504,49,True,0
39,Harry Wilson,MID,Fulham,0.0,0,0,0,0,0.0,259,0.0,0.0,0.0,0.0,312,0,0,0.0,0.0,2025-04-14T19:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,32,0,23441,0,0,1,0.0,0,-446,29,475,52,False,0
40,Mathis Amougou,MID,Chelsea,0.0,0,0,0,0,0.0,771,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,314,0,2,2,0.0,0,0,22,22,45,True,0
41,Kasey McAteer,MID,Leicester,0.0,0,0,5,0,16.0,299,0.13,0.19,0.06,3.91,313,2,0,4.1,2.6,2025-04-12T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,32,0,4313,1,2,2,22.0,2,-67,25,92,47,False,0
42,Curtis Jones,MID,Liverpool,0.0,0,0,12,1,6.6,324,0.26,0.28,0.02,1.27,315,0,0,2.2,8.6,2025-04-13T13:00:00Z,67,0,0,0,0,0,0,0,False,19,0,0,0,0,32,0,29071,1,1,2,7.0,3,-174,558,732,53,True,0
43,Wes Burns,MID,Ipswich,0.0,0,0,0,0,0.0,264,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,32,0,3272,0,2,2,0.0,0,-48,26,74,47,False,0
44,Treymaurice Nyoni,MID,Liverpool,0.0,0,0,0,0,0.0,688,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,32,0,518,0,1,2,0.0,0,5,27,22,45,True,0
45,Gustavo Nunes Fernandes Gomes,MID,Brentford,0.0,0,0,3,0,0.0,634,0.0,0.0,0.0,0.09,311,0,0,0.2,2.0,2025-04-12T16:30:00Z,1,0,0,0,0,0,0,0,False,1,0,0,0,0,32,0,313,0,1,1,0.0,1,2,9,7,49,False,0
46,Yunus Emre Konak,MID,Brentford,0.0,0,0,0,0,0.0,97,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,32,0,6603,0,1,1,0.0,0,-72,39,111,44,False,0
47,Max Kilman,DEF,West Ham,0.0,0,0,12,0,10.9,524,0.16,0.16,0.0,1.78,315,2,0,4.9,38.2,2025-04-13T13:00:00Z,90,0,0,0,0,0,0,0,False,12,0,0,0,0,32,0,139264,1,1,2,0.0,1,-5178,1289,6467,43,False,0
48,Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,32,0,474,0,2,2,0.0,0,0,0,0,55,True,0
49,Alex Murphy,DEF,Newcastle,0.0,0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,317,0,0,0.0,0.0,2025-04-13T15:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,32,0,59652,0,1,4,0.0,0,-1011,0,1011,40,True,0
50,Alex Murphy,DEF,Newcastle,0.0,0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2025-04-16T18:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,32,0,59652,0,0,5,0.0,0,-1011,0,1011,40,True,0
